"Josefine_Mutzenbacher_1" "Josefine_Mutzenbacher_2" "Josefine_Mutzenbacher_3" "Josefine_Mutzenbacher_4" "Josefine_Mutzenbacher_5" "Josefine_Mutzenbacher_6" "Josefine_Mutzenbacher_7" "Josefine_Mutzenbacher_8" "Josefine_Mutzenbacher_9" "Josefine_Mutzenbacher_10" "Josefine_Mutzenbacher_11" "Josefine_Mutzenbacher_12" "Josefine_Mutzenbacher_13" "Josefine_Mutzenbacher_14" "Josefine_Mutzenbacher_15" "Josefine_Mutzenbacher_16" "Josefine_Mutzenbacher_17" "Josefine_Mutzenbacher_18" "Josefine_Mutzenbacher_19" "Josefine_Mutzenbacher_20" "Josefine_Mutzenbacher_21" "Josefine_Mutzenbacher_22" "Josefine_Mutzenbacher_23" "Josefine_Mutzenbacher_24" "Josefine_Mutzenbacher_25" "Josefine_Mutzenbacher_26" "Josefine_Mutzenbacher_27" "Josefine_Mutzenbacher_28" "Josefine_Mutzenbacher_29" "Josefine_Mutzenbacher_30" "Josefine_Mutzenbacher_31" "Josefine_Mutzenbacher_32" "Josefine_Mutzenbacher_33" "Josefine_Mutzenbacher_34" "Josefine_Mutzenbacher_35" "Josefine_Mutzenbacher_36" "Josefine_Mutzenbacher_37" "Josefine_Mutzenbacher_38" "Josefine_Mutzenbacher_39" "Josefine_Mutzenbacher_40" "Josefine_Mutzenbacher_41" "Josefine_Mutzenbacher_42" "Josefine_Mutzenbacher_43" "Josefine_Mutzenbacher_44" "Josefine_Mutzenbacher_45" "Josefine_Mutzenbacher_46" "Josefine_Mutzenbacher_47" "Josefine_Mutzenbacher_48" "Josefine_Mutzenbacher_49" "Josefine_Mutzenbacher_50" "Josefine_Mutzenbacher_51" "Josefine_Mutzenbacher_52" "Josefine_Mutzenbacher_53" "Josefine_Mutzenbacher_54" "Josefine_Mutzenbacher_55" "Josefine_Mutzenbacher_56" "Josefine_Mutzenbacher_57" "Josefine_Mutzenbacher_58" "Josefine_Mutzenbacher_59" "Josefine_Mutzenbacher_60" "Josefine_Mutzenbacher_61" "Josefine_Mutzenbacher_62" "Josefine_Mutzenbacher_63" "Josefine_Mutzenbacher_64" "Josefine_Mutzenbacher_65" "Josefine_Mutzenbacher_66" "Josefine_Mutzenbacher_67" "Josefine_Mutzenbacher_68" "Josefine_Mutzenbacher_69" "Josefine_Mutzenbacher_70" "Josefine_Mutzenbacher_71" "Josefine_Mutzenbacher_72" "Josefine_Mutzenbacher_73" "Josefine_Mutzenbacher_74" "Josefine_Mutzenbacher_75" "Josefine_Mutzenbacher_76" "Josefine_Mutzenbacher_77" "Josefine_Mutzenbacher_78" "Josefine_Mutzenbacher_79" "Josefine_Mutzenbacher_80" "Josefine_Mutzenbacher_81" "Josefine_Mutzenbacher_82" "Josefine_Mutzenbacher_83" "Josefine_Mutzenbacher_84" "Josefine_Mutzenbacher_85" "Josefine_Mutzenbacher_86" "Josefine_Mutzenbacher_87" "Josefine_Mutzenbacher_88" "Josefine_Mutzenbacher_89" "Josefine_Mutzenbacher_90" "Josefine_Mutzenbacher_91" "Josefine_Mutzenbacher_92" "Josefine_Mutzenbacher_93" "Josefine_Mutzenbacher_94" "Josefine_Mutzenbacher_95" "Josefine_Mutzenbacher_96" "Josefine_Mutzenbacher_97" "Josefine_Mutzenbacher_98" "Josefine_Mutzenbacher_99" "Josefine_Mutzenbacher_100" "Josefine_Mutzenbacher_101" "Josefine_Mutzenbacher_102" "Josefine_Mutzenbacher_103" "Josefine_Mutzenbacher_104" "Josefine_Mutzenbacher_105" "Josefine_Mutzenbacher_106" "Josefine_Mutzenbacher_107" "Josefine_Mutzenbacher_108" "Josefine_Mutzenbacher_109" "Josefine_Mutzenbacher_110" "Josefine_Mutzenbacher_111" "Josefine_Mutzenbacher_112" "Josefine_Mutzenbacher_113" "Josefine_Mutzenbacher_114" "Josefine_Mutzenbacher_115" "Josefine_Mutzenbacher_116" "Josefine_Mutzenbacher_117" "Josefine_Mutzenbacher_118" "Josefine_Mutzenbacher_119" "Josefine_Mutzenbacher_120" "Josefine_Mutzenbacher_121" "Josefine_Mutzenbacher_122" "Josefine_Mutzenbacher_123" "Josefine_Mutzenbacher_124" "Josefine_Mutzenbacher_125"
"erhob" 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0
"jedem" 0.02 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.02 0.04 0.06 0.06 0.06 0.06 0.04 0.04 0.04 0.04 0.04 0.02 0 0 0 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0 0 0 0 0 0 0 0 0 0 0
"theater" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"filippo" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"unserer" 0 0 0 0 0 0 0 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"schloss" 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.06 0.06 0.06 0.04 0.02 0.02 0.02 0.02 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0
"stirn" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"plana" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"einzige" 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.06 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04
"mal" 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0.06 0.06 0.08 0.08 0.1 0.1 0.1 0.1 0.1 0.06 0.04 0.04 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"alfred" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"erzaehlte" 0.04 0.04 0.04 0.04 0.04 0.04 0.08 0.06 0.06 0.06 0.08 0.08 0.08 0.08 0.08 0.06 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0.04 0.06 0.08 0.08 0.08 0.1 0.1 0.1 0.1 0.06 0.06 0.04 0.02 0.02 0.02 0 0 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.06 0.06 0.04 0.06 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0
"lieb" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0.04
"male" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ziemlich" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.04 0.04 0.06 0.06 0.06 0.06 0.06 0.04 0.04 0.04 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0 0 0 0 0 0 0
"hoert" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.04 0.04 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"hut" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"schwieg" 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.06 0.06 0.04 0.04 0.04 0.06 0.06 0.06 0.08 0.06 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0 0 0 0 0 0 0.04 0.06 0.06 0.06 0.06 0.06 0.08 0.08 0.1 0.12 0.08 0.08 0.08 0.08 0.08 0.08 0.06 0.06 0.04 0.02 0.02 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0
"stueck" 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02
"tut" 0.04 0.04 0.04 0.04 0.04 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1 0.1 0.1 0.12 0.12 0.12 0.14 0.14 0.14 0.14 0.04 0.04 0.04 0.02 0.02 0.02 0 0 0 0.04 0.04 0.04 0.06 0.06 0.06 0.06 0.06 0.1 0.1 0.06 0.08 0.08 0.06 0.06 0.06 0.06 0.06 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.06 0.06 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.04 0.04 0 0 0 0 0 0.02 0.04 0.04 0.04 0.06 0.06 0.08 0.08 0.08 0.08 0.08 0.06 0.06 0.06 0.04 0.06 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0 0 0.04 0.04 0.04 0.04 0.04 0.04
"deiner" 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0.02 0.02 0.02 0.02 0.02 0.04 0.06 0.06 0.06 0.06 0.04 0.04 0.04 0.04 0.04 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"erzaehlen" 0.02 0.02 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02
"heftig" 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.04 0.06 0.06 0.06 0.06 0.08 0.08 0.08 0.08 0.08 0.1 0.08 0.08 0.1 0.1 0.1 0.1 0.1 0.14 0.14 0.1 0.1 0.1 0.08 0.08 0.06 0.06 0.08 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.06 0.04 0.06 0.04 0.04 0.04 0.04 0.04 0.06 0.06 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0
"laechelnd" 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.06 0.06 0.06 0.06 0.06 0.06 0.04 0.04 0.04 0.04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.06 0.04 0.04 0.04 0.06 0.06 0.06 0.06 0.06 0.04 0.02 0.02 0.02 0.02 0 0 0
"duerfen" 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0.02 0.02 0.02 0.04 0.04 0.06 0.06 0.06 0.06 0.06 0.04 0.04 0.04 0.02 0.02
"erinnerung" 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"haupt" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0
"hervor" 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0 0.02 0.02 0.02 0.02 0.06 0.06 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0.04 0.04 0.02 0.02 0.02 0.02
"mitten" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0
"nickte" 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.1 0.1 0.1 0.08 0.08 0.08 0.08 0.08 0.08 0.08 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"worten" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0 0 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0
"hinzu" 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0 0.04 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.06 0.02 0 0 0 0 0 0 0 0 0 0.02 0.02 0.04 0.04 0.06 0.06 0.06 0.06 0.08 0.08 0.06 0.06 0.04 0.04 0.02 0.02 0.02 0.02
"jugend" 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"schritte" 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.04 0.04 0.04 0.04 0.04 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0.02 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
